UAV_NUM,Avg_Profit,Avg_Reward_Norm,Avg_Reward_Raw,Avg_Episode_Time_ms
1,5.3107754468917845,-0.3058498973147876,10.310775446891785,3.2133400003658608
2,5.808397728204727,0.6511956874544383,7.7882499113406185,4.584969999268651
3,3.76306759044528,-0.26796671542202494,6.210250009128875,5.978609991143458
4,3.0694447018613573,-0.06106267555199398,5.7003555394701335,6.715080002322793
5,2.3385808602906764,0.46340008436145447,5.426182885753171,11.125310001079924
6,0.9631584957242012,-0.46909847844011365,5.120300397031029,10.06235999520868
7,0.14430296644568444,-0.06223961171073332,4.999475648858031,9.212639994802885
8,-0.7898511310806497,0.04322587799452099,4.881351616809482,10.079769996809773
9,-1.397392613813281,0.2901595148986236,4.819424090737354,10.495559996343218
10,-2.5357105523347854,-0.0022605236459248917,4.7289243883622145,11.338369993609376
11,-3.3150086991954595,0.4741380761551678,4.681346429810207,11.930530003155582
12,-4.969338364712894,-0.4192851172241697,4.5748356430618795,12.807549993158318
13,-5.694741679355502,-0.2234943367427747,4.5520751899664935,13.66013000078965
14,-6.452878441475332,-0.018498258277716007,4.527784913830443,14.339590002782643
15,-7.712179554905743,-0.17424329099985505,4.478504319588189,15.988960000686347
16,-8.602323958557099,0.01617992206826698,4.455642076183579,16.026880001300015
17,-9.45660429764539,0.154398932478707,4.436817405397397,16.930159999174066
18,-10.498165994882584,0.18355474093667973,4.410052318183492,18.14474999846425
19,-11.516070415079593,-0.007416714038463357,4.3847286241782255,20.161500002723187
20,-12.561152239050717,-0.07234968354829772,4.365032344861853,20.64053999783937
21,-13.541208427399397,-0.09835114991885716,4.348953040613995,21.84032999793999
22,-14.800189916789531,-0.48684146888494206,4.323612329106482,23.04423000314273
23,-15.58712584991008,-0.25787731853654006,4.318416120973406,25.05852000322193
24,-16.35675563721452,0.26449815596083526,4.314677068331053,28.858510000281967
25,-17.688351720571518,-0.2835302563884401,4.288750776037562,26.492320006946102
26,-18.704007963091136,-0.3121170184735536,4.278121948880308,26.31734000169672
27,-19.77307441595167,-0.4017132607412651,4.266232065356741,25.140010000905022
28,-20.798974848166107,-0.48172624786831025,4.255626052525429,26.2565299984999
29,-21.57476694136858,-0.24151545743058733,4.254034656274024,27.420540002640337
30,-22.658020785916598,-0.338909299546295,4.243204512675207,27.994009997928515
31,-23.531785291805864,-0.2137909671393729,4.239886679957372,30.43860000616405
32,-24.59572609513998,-0.2656649754396256,4.23082562148633,30.29705999942962
33,-25.518579908460378,-0.18772695597589015,4.225927807821025,30.487890003132634
34,-26.4329377155751,-0.12730448738297914,4.222103476216646,31.997289997525513
35,-27.394807750359178,-0.05598490412559907,4.217229437484339,32.912839998607524
36,-28.31644310830161,0.26270944307909916,4.211936934606113,32.85535000031814
37,-29.622787660360338,-0.12406237418961993,4.19885370024388,33.74445999797899
38,-30.671212624013425,-0.2352907641830519,4.192146894559508,34.841840001172386
39,-31.663021291047336,-0.177880933025431,4.1881509850311485,35.629000002518296
40,-32.701407806109636,-0.23500705105207853,4.182403508252285,37.105129996780306
41,-33.73729443345219,-0.28958822960023944,4.177517431550913,36.961399993742816
42,-34.78172271531075,-0.38028750804092826,4.172313466423513,38.27219000668265
43,-35.67437084745616,-0.2754758420028034,4.1706753457297,38.84537999983877
44,-36.60530502535403,-0.17780692826153,4.168463928204273,39.61546999926213
45,-37.53577745314688,-0.16018697102979665,4.16638292981616,40.883000000030734
46,-38.51869212184101,-0.09153308711748268,4.163495412746395,42.00164999929257
47,-39.462675432488325,-0.06109126619334868,4.161248523280765,43.033260005177
48,-40.47056406475603,-0.09908717499279199,4.15775622775602,43.96167000231799
49,-41.420650384575126,-0.049208272498718474,4.155187242257046,45.96095999586396
50,-42.32415178297087,0.04131531668704612,4.15413460580387,45.6323100021109
