UAV_NUM,Avg_Profit,Avg_Reward_Norm,Avg_Reward_Raw
1,4.648983236086086,0.5016652240339956,8.709183236086085
2,3.147884811322771,0.7666223155673285,4.785765422052209
3,1.1781708192526472,0.20596498256824133,3.15316575834865
4,0.6622957526743114,0.8704298047144368,3.005849175859877
5,-0.416321116218194,0.9311725701349143,2.72573897744135
6,-1.6765575623421345,0.7546586450419932,2.473306920652349
7,-2.907813828824434,0.5171005128637118,2.1785248257555754
8,-3.8193031443597527,0.6154531805652061,2.180834823018166
9,-4.599044002047322,0.7375121651066165,2.2399554837135973
10,-5.723923028853667,0.5814003010133495,2.0923494600903525
11,-6.81419678743065,0.5433383066481614,1.9631844144801647
12,-7.552253549274336,0.5475979975373237,2.0609644006111907
13,-8.750481284682342,0.6409981495943758,1.9355518994517567
14,-9.43017627975272,0.5896026382323226,2.079322900038183
15,-10.96558384163156,0.47913460639428623,1.7937720518597442
16,-11.686708675469808,0.5069500234548986,1.9062717403316138
17,-12.482452002123837,0.7706420945595179,2.1048446220486716
18,-13.323797644366062,0.6546454342970609,2.13069589325955
19,-15.17227575623193,0.2755047893266062,1.65460211886167
20,-15.827835712140166,0.4261529756519897,1.8039138497002394
21,-16.498182051739235,0.5600107280512112,1.9521194995739233
22,-17.215878546694785,0.8118848348796052,2.1485075032082106
23,-18.351793790085388,0.5204404198094134,2.020606978024678
24,-19.162538197230184,0.5169276835902765,2.119301851186203
25,-20.761919045099404,0.8108996113607387,1.8583210339549558
26,-21.526304260347636,0.8577633707228769,1.9421583169648589
27,-22.619760000194294,0.6276721019157014,1.8668534784446034
28,-23.539938573708362,0.5440586634609585,1.9258197162042947
29,-24.331457360529022,0.719389650813668,2.017879169499458
30,-25.149723079004733,0.7869387542533746,2.1372944089327754
31,-25.97967854377394,0.7024412413330469,2.1686377421435608
32,-27.038892547135966,0.7319467595458709,2.2265628797651202
33,-27.939098436450188,0.5318285924055315,2.2063626219776764
34,-28.91532382123655,0.645216618655108,2.275466669601257
35,-29.8774818913998,0.6668935650694204,2.331097667678585
36,-30.617385531102183,0.6644124644135756,2.4264416739551664
37,-32.05944701403646,0.6251223937833081,2.1636796725081857
38,-33.58518678348092,0.5646009534712405,1.885597320257451
39,-34.47908451696342,0.613018520770301,1.9154178393622274
40,-35.19949467033321,0.7309429167749937,2.038910066959906
41,-36.199870139451804,0.8080558403512452,2.063796847751443
42,-37.46603732889245,0.2831167343709476,1.8937941763210762
43,-38.109771069490264,0.779528112003856,2.1546564871052687
44,-39.02482102148991,0.6776511215777151,2.167008068191052
45,-39.96753157026528,0.5985168675288085,2.148850649880402
46,-41.090735575170555,0.4874260164557354,2.153069917202882
47,-41.82754981609131,0.6693218217772718,2.2661808677417308
48,-42.70887967308802,0.7454599547342818,2.3360595046441577
49,-43.6892393056514,0.6396989733107512,2.314497481845011
50,-44.774692964352866,0.6193628774006694,2.320852980989843
