UAV_NUM,Avg_Profit,Avg_Reward
1,5.67387972602598,1.3618883215357345
2,2.411097424632145,1.3622921608677778
3,1.8239559519325976,1.3663064205810733
4,-0.2935938377126063,1.3663461644554133
5,-0.8953840589299954,1.368762177018935
6,-1.616066529466903,1.3683694230501018
7,-2.9747296654019335,1.3662393287250951
8,-3.344913874147396,1.3731974154927484
9,-4.562596344041118,1.366592920308177
10,-5.081915002211512,1.3751392932093487
11,-6.367921996446123,1.3707608574111818
12,-7.517405534190543,1.369248572862032
13,-8.711329818137205,1.3694845946312726
14,-9.148265976674288,1.3749866514580558
15,-10.913004034222823,1.3736664056832024
16,-11.363568702420237,1.3717368974988635
17,-12.095813132641585,1.365533783742738
18,-13.104393430120004,1.370050911007001
19,-14.630314691028564,1.3688221368108224
20,-15.478432285693023,1.367190329260573
21,-16.238486975610606,1.3748704809888985
22,-17.10954398013972,1.371070539166111
23,-17.968219269007808,1.3721409189768632
24,-19.135656434440765,1.3684834888390867
25,-20.6261416907161,1.3684585078732892
26,-21.422531810062182,1.3708662398973714
27,-22.120764962179457,1.3711823293536547
28,-23.067410084665973,1.3683367865118108
29,-24.088618849483055,1.367654658657728
30,-24.985991410332172,1.372055154808686
31,-26.225602287188764,1.3699823914920095
32,-26.9414160988453,1.3738053174933735
33,-27.61959975755364,1.370778703957074
34,-28.469694234170994,1.3702638353791128
35,-29.72205917176509,1.3730689415737314
36,-30.444829063459697,1.369223706389261
37,-32.53486986976004,1.368661796774059
38,-33.4449663584997,1.369099421303435
39,-34.496595708726936,1.3689038733973773
40,-35.059931988914606,1.368160606452612
41,-36.07080497757893,1.3703029157029922
42,-36.860298689596334,1.3736273192181825
43,-38.06940991654891,1.3699319476571135
44,-38.78100228979309,1.3739564075288642
45,-39.879023860358856,1.3722707846569582
46,-40.91445185237451,1.374022464582564
47,-41.710783387676784,1.3734559977261926
48,-42.58307106731687,1.3728776801617983
49,-43.41739059338967,1.3734172073242192
50,-44.23794113617352,1.3723585889310956
